STATUS_ID,STATUS_NAME,END_STATUS,ACCOUNT_NUMBER
280,Document Received,Yes,10280
281,Document Received,No,10281
282,Document Received,Yes,10282
283,Document Received,No,10283
284,Document Received,Yes,10284
285,Document Received,No,10285
286,Document Received,Yes,10286
287,Document Received,Yes,10287
288,Document Received,No,10288
289,Document Received,No,10289
290,Document Received,Yes,10290
291,Document Received,Yes,10291
292,Document Received,No,10292
293,Document Received,No,10293
294,Document Received,No,10294
295,Document Received,Yes,10295
296,Document Received,No,10296
297,Document Received,No,10297
298,Document Received,No,10298
299,Document Received,No,10299
300,Document Received,Yes,10300
301,Document Received,Yes,10301
302,Document Received,No,10302
303,Document Received,Yes,10303
304,Document Received,Yes,10304
305,Document Received,No,10305
306,Document Received,No,10306
307,Document Received,Yes,10307
308,Document Received,No,10308
309,Document Received,No,10309
310,Document Received,No,10310
311,Document Received,No,10311
312,Document Received,Yes,10312
313,Document Received,No,10313
314,Document Received,Yes,10314
315,Document Received,Yes,10315
316,Document Received,No,10316
317,Document Received,No,10317
318,Document Received,No,10318
319,Document Received,No,10319
320,Document Received,Yes,10320
321,Document Received,No,10321
322,Document Received,Yes,10322
323,Document Received,Yes,10323
324,Document Received,Yes,10324
325,Document Received,Yes,10325
326,Document Received,No,10326
327,Document Received,Yes,10327
328,Document Received,No,10328
329,Document Received,Yes,10329
330,Document Received,No,10330
331,Document Received,Yes,10331
332,Document Received,Yes,10332
333,Document Received,Yes,10333
334,Document Received,Yes,10334
335,Document Received,Yes,10335
336,Document Received,Yes,10336
337,Document Received,Yes,10337
338,Document Received,Yes,10338
339,Document Received,No,10339
340,Document Received,Yes,10340
341,Document Received,Yes,10341
342,Document Received,No,10342
343,Document Received,No,10343
344,Document Received,No,10344
345,Document Received,Yes,10345
346,Document Received,No,10346
347,Document Received,Yes,10347
348,Document Received,No,10348
349,Document Received,No,10349
350,Document Received,Yes,10350
351,Document Received,No,10351
352,Document Received,No,10352
353,Document Received,No,10353
354,Document Received,Yes,10354
355,Document Received,No,10355
356,Document Received,Yes,10356
357,Document Received,No,10357
358,Document Received,Yes,10358
359,Document Received,No,10359
360,Document Received,No,10360
361,Document Received,No,10361
362,Document Received,No,10362
363,Document Received,Yes,10363
364,Document Received,Yes,10364
365,Document Received,Yes,10365
366,Document Received,Yes,10366
367,Document Received,Yes,10367
368,Document Received,No,10368
369,Document Received,Yes,10369
370,Document Received,No,10370
371,Document Received,Yes,10371
372,Document Received,Yes,10372
373,Document Received,Yes,10373
374,Document Received,Yes,10374
375,Document Received,No,10375
376,Document Received,Yes,10376
377,Document Received,Yes,10377
378,Document Received,No,10378
379,Document Received,Yes,10379
380,Document Received,No,10380
381,Document Received,No,10381
382,Document Received,No,10382
383,Document Received,Yes,10383
384,Document Received,No,10384
385,Document Received,Yes,10385
386,Document Received,Yes,10386
387,Document Received,Yes,10387
388,Document Received,No,10388
389,Document Received,Yes,10389
390,Document Received,Yes,10390
391,Document Received,No,10391
392,Document Received,Yes,10392
393,Document Received,No,10393
394,Document Received,No,10394
395,Document Received,Yes,10395
396,Document Received,No,10396
397,Document Received,No,10397
398,Document Received,Yes,10398
399,Document Received,No,10399
400,Document Received,Yes,10400
401,Document Received,Yes,10401
402,Document Received,No,10402
403,Document Received,No,10403
404,Document Received,Yes,10404
405,Document Received,Yes,10405
406,Document Received,No,10406
407,Document Received,No,10407
408,Document Received,Yes,10408
409,Document Received,No,10409
410,Document Received,Yes,10410
411,Document Received,Yes,10411
412,Document Received,Yes,10412
413,Document Received,No,10413
414,Document Received,No,10414
415,Document Received,Yes,10415
416,Document Received,Yes,10416
417,Document Received,Yes,10417
418,Document Received,Yes,10418
419,Document Received,Yes,10419
420,Document Received,Yes,10420
421,Document Received,No,10421
422,Document Received,Yes,10422
423,Document Received,Yes,10423
424,Document Received,Yes,10424
425,Document Received,Yes,10425
426,Document Received,Yes,10426
427,Document Received,Yes,10427
428,Document Received,No,10428
429,Document Received,No,10429
430,Document Received,No,10430
431,Document Received,Yes,10431
432,Document Received,No,10432
433,Document Received,No,10433
434,Document Received,No,10434
435,Document Received,Yes,10435
436,Document Received,Yes,10436
437,Document Received,Yes,10437
438,Document Received,Yes,10438
439,Document Received,No,10439
440,Document Received,No,10440
441,Document Received,Yes,10441
442,Document Received,No,10442
443,Document Received,Yes,10443
444,Document Received,Yes,10444
445,Document Received,No,10445
446,Document Received,Yes,10446
447,Document Received,Yes,10447
448,Document Received,Yes,10448
449,Document Received,Yes,10449
450,Document Received,Yes,10450
451,Document Received,No,10451
452,Document Received,Yes,10452
453,Document Received,No,10453
454,Document Received,No,10454
455,Document Received,No,10455
456,Document Received,Yes,10456
457,Document Received,No,10457
458,Document Received,Yes,10458
459,Document Received,Yes,10459
460,Document Received,No,10460
461,Document Received,Yes,10461
462,Document Received,No,10462
463,Document Received,No,10463
464,Document Received,No,10464
465,Document Received,No,10465
466,Document Received,Yes,10466
467,Document Received,No,10467
468,Document Received,Yes,10468
469,Document Received,No,10469
470,Document Received,Yes,10470
471,Document Received,No,10471
472,Document Received,No,10472
473,Document Received,No,10473
474,Document Received,Yes,10474
475,Document Received,No,10475
476,Document Received,Yes,10476
477,Document Received,Yes,10477
478,Document Received,Yes,10478
479,Document Received,No,10479
480,Document Received,Yes,10480
481,Document Received,Yes,10481
482,Document Received,No,10482
483,Document Received,No,10483
484,Document Received,No,10484
485,Document Received,No,10485
486,Document Received,No,10486
487,Document Received,Yes,10487
488,Document Received,No,10488
489,Document Received,No,10489
490,Document Received,Yes,10490
491,Document Received,No,10491
492,Document Received,No,10492
493,Document Received,Yes,10493
494,Document Received,Yes,10494
495,Document Received,Yes,10495
496,Document Received,No,10496
497,Document Received,No,10497
498,Document Received,Yes,10498
499,Document Received,No,10499
500,Document Received,Yes,10500
